feature,road_class,collision_stratum,n_links,n_non_null,non_null_share_per_link,non_null_share_per_link_year,n_link_years
hgv_proportion,A Road,one_or_more_collisions_2015_2024,67763,63658,0.9394212180688576,0.9183654796865546,677630
hgv_proportion,A Road,zero_collisions_2015_2024,87775,64468,0.7344688123041868,0.7142557675875819,877750
hgv_proportion,B Road,one_or_more_collisions_2015_2024,27796,23889,0.859440207224061,0.7992588861706721,277960
hgv_proportion,B Road,zero_collisions_2015_2024,61490,38852,0.6318425760286226,0.5715173198894129,614900
hgv_proportion,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,30445,0.8278721957851801,0.7705016995241333,367750
hgv_proportion,Classified Unnumbered,zero_collisions_2015_2024,154146,85491,0.554610564010743,0.4847605516847664,1541460
hgv_proportion,Motorway,one_or_more_collisions_2015_2024,2279,2242,0.98376480912681,0.9734532689776217,22790
hgv_proportion,Motorway,zero_collisions_2015_2024,1805,1457,0.807202216066482,0.7931301939058172,18050
hgv_proportion,Not Classified,one_or_more_collisions_2015_2024,4251,3963,0.9322512350035286,0.9039520112914609,42510
hgv_proportion,Not Classified,zero_collisions_2015_2024,220627,161338,0.731270424744025,0.6844071668472127,2206270
hgv_proportion,Unclassified,one_or_more_collisions_2015_2024,86433,83235,0.9630002429627573,0.9456272488517117,864330
hgv_proportion,Unclassified,zero_collisions_2015_2024,973581,802421,0.8241954187684435,0.7940203229109853,9735810
hgv_proportion,Unknown,one_or_more_collisions_2015_2024,8307,7853,0.9453472974599735,0.9223305645840857,83070
hgv_proportion,Unknown,zero_collisions_2015_2024,434529,285660,0.6574014622729438,0.6038489951188528,4345290
dist_to_major_km,A Road,one_or_more_collisions_2015_2024,67763,67763,1.0,1.0,677630
dist_to_major_km,A Road,zero_collisions_2015_2024,87775,87775,1.0,1.0,877750
dist_to_major_km,B Road,one_or_more_collisions_2015_2024,27796,27796,1.0,1.0,277960
dist_to_major_km,B Road,zero_collisions_2015_2024,61490,61489,0.9999837371930396,0.9999837371930396,614900
dist_to_major_km,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,36775,1.0,1.0,367750
dist_to_major_km,Classified Unnumbered,zero_collisions_2015_2024,154146,154126,0.9998702528771425,0.9998702528771425,1541460
dist_to_major_km,Motorway,one_or_more_collisions_2015_2024,2279,2279,1.0,1.0,22790
dist_to_major_km,Motorway,zero_collisions_2015_2024,1805,1805,1.0,1.0,18050
dist_to_major_km,Not Classified,one_or_more_collisions_2015_2024,4251,4250,0.9997647612326511,0.9997647612326511,42510
dist_to_major_km,Not Classified,zero_collisions_2015_2024,220627,220384,0.9988985935538262,0.9988985935538262,2206270
dist_to_major_km,Unclassified,one_or_more_collisions_2015_2024,86433,86429,0.9999537213795657,0.9999537213795657,864330
dist_to_major_km,Unclassified,zero_collisions_2015_2024,973581,973251,0.9996610451518672,0.9996610451518672,9735810
dist_to_major_km,Unknown,one_or_more_collisions_2015_2024,8307,8301,0.9992777175875768,0.9992777175875768,83070
dist_to_major_km,Unknown,zero_collisions_2015_2024,434529,432358,0.9950037857082036,0.9950037857082036,4345290
pop_density_per_km2,A Road,one_or_more_collisions_2015_2024,67763,61228,0.9035609403361716,0.9035609403361716,677630
pop_density_per_km2,A Road,zero_collisions_2015_2024,87775,72460,0.8255197949302193,0.8255197949302193,877750
pop_density_per_km2,B Road,one_or_more_collisions_2015_2024,27796,24525,0.8823211972945748,0.8823211972945748,277960
pop_density_per_km2,B Road,zero_collisions_2015_2024,61490,47346,0.7699788583509514,0.7699788583509514,614900
pop_density_per_km2,Classified Unnumbered,one_or_more_collisions_2015_2024,36775,31403,0.8539225016995241,0.8539225016995241,367750
pop_density_per_km2,Classified Unnumbered,zero_collisions_2015_2024,154146,101870,0.6608669702749341,0.6608669702749341,1541460
pop_density_per_km2,Motorway,one_or_more_collisions_2015_2024,2279,2046,0.8977621763931549,0.8977621763931549,22790
pop_density_per_km2,Motorway,zero_collisions_2015_2024,1805,1465,0.8116343490304709,0.8116343490304709,18050
pop_density_per_km2,Not Classified,one_or_more_collisions_2015_2024,4251,4030,0.9480122324159022,0.9480122324159022,42510
pop_density_per_km2,Not Classified,zero_collisions_2015_2024,220627,188025,0.8522302347400816,0.8522302347400816,2206270
