link_id,road_function,road_classification,distance_to_nearest_lsoa_polygon_m,distance_to_nearest_lsoa_polygon_edge_m
78B975E9-1F5F-4E12-AA9C-557D8DD95AEB,Restricted Local Access Road,Unknown,0.0,467.8274179104834
A0090392-8497-47D4-BD3F-4FF7F2DE7B83,Restricted Local Access Road,Unknown,45130.92952644717,45130.92952644717
1A2A1963-76B4-4A7F-946A-5BD7FF221299,Minor Road,Classified Unnumbered,0.0,528.8734477304462
104B8A7F-52C0-469C-A375-1B92A1E07FF8,A Road,A Road,0.0,1177.7342985383702
518A8227-A048-4B90-A527-25AC63B0CD6E,Minor Road,Unclassified,0.0,195.3373092753714
583F1653-E3DA-4745-AA97-6A3E4D524386,Restricted Local Access Road,Unclassified,0.0,0.0
6F5EC389-5579-4CC6-97E5-F58C05A2EA35,Restricted Local Access Road,Unknown,0.0,372.3303145101654
10CF8662-04BF-40E7-8729-B75F4E1CCE7A,Local Road,Unclassified,0.0,1578.4231241474686
0AB40D76-1EDC-428D-88CA-181CE61CAE1D,Restricted Local Access Road,Unknown,0.0,716.8288265348934
C249F2C0-E0EE-4E2F-BA1A-90C7A77E17DD,Restricted Local Access Road,Not Classified,0.0,1029.9386599840957
D791F6B0-6272-4750-BB36-96E5A5D8DF3F,Minor Road,Unclassified,0.0,586.23484994595
FE77B9C6-9553-4226-95D7-C42A0DD1160E,Restricted Local Access Road,Unknown,109300.81434995092,109300.81434995092
83FB5AE3-A029-4AD0-B7A6-BD9BD0D30C28,A Road,A Road,11886.68096733359,11886.68096733359
37FD0B7A-870C-4493-A9C5-2B08EC505994,Local Road,Unclassified,0.0,45.97900205286301
20D69A3F-DA20-4566-BEFB-A7FE2E75A481,B Road,B Road,0.0,333.3180770582061
C4FB305F-69F9-4E33-9570-B6684158142A,Restricted Local Access Road,Unknown,0.0,870.8059107638388
AF92607D-400A-4E7C-81A6-C4BA8498B488,Minor Road,Classified Unnumbered,73565.86104933766,73565.86104933766
00969A5A-BF50-4880-9129-0CB9566F8C33,Local Road,Unknown,0.0,449.0163650307095
