feature,spearman_rho,p_value,n,feature_missing_share,abs_spearman_rho
degree_mean,0.1512606419220089,0.0,2167557,0.0,0.1512606419220089
speed_limit_mph_effective,0.14828163465571334,0.0,1978409,0.08726321845284807,0.14828163465571334
lanes,-0.13297079774976012,0.0,158213,0.9270086092314989,0.13297079774976012
hgv_proportion,-0.08240992604119891,0.0,209594,0.9033040422927747,0.08240992604119891
is_primary,-0.05988263072282266,0.0,2167557,0.0,0.05988263072282266
is_dual,-0.05908834286146127,0.0,2167557,0.0,0.05908834286146127
is_urban,-0.055808359424961,0.0,2167557,0.0,0.055808359424961
form_of_way_ord,-0.05187437875604506,0.0,2167557,0.0,0.05187437875604506
is_a_road,-0.05172923048195251,0.0,2167557,0.0,0.05172923048195251
mean_grade,-0.04962283359350977,0.0,1834978,0.15343495003822274,0.04962283359350977
pop_density_per_km2,0.046024974228730586,0.0,1831865,0.15487112910986886,0.046024974228730586
is_unpaved,-0.03940864036310807,1.6109993839563978e-120,350597,0.8382524657944405,0.03940864036310807
is_motorway,-0.03711893573914234,0.0,2167557,0.0,0.03711893573914234
imd_crime_decile,0.033034657534678116,0.0,1770552,0.18315781315093443,0.033034657534678116
log_estimated_aadt,-0.030333102480679587,0.0,2167557,0.0,0.030333102480679587
betweenness_relative,-0.03032230159097522,0.0,2167557,0.0,0.03032230159097522
imd_living_indoor_decile,0.01981284419825782,3.368469630281683e-153,1770552,0.18315781315093443,0.01981284419825782
road_class_ord,0.019616704065729962,1.9130824664463005e-183,2167557,0.0,0.019616704065729962
betweenness,-0.018989356215769575,5.00762268511319e-172,2167557,0.0,0.018989356215769575
dist_to_major_km,-0.016259353622064886,1.7124451642356895e-126,2164781,0.0012807044981977406,0.016259353622064886
is_slip_road,-0.01309499560971237,7.894360449026276e-83,2167557,0.0,0.01309499560971237
is_roundabout,-0.00875693504716813,4.945033859962308e-38,2167557,0.0,0.00875693504716813
imd_decile,-0.004474690242559936,2.6143974726181e-09,1770552,0.18315781315093443,0.004474690242559936
log_link_length,0.003344274797825195,8.49397355861193e-07,2167557,0.0,0.003344274797825195
is_trunk,0.002869760961616308,2.3889002589825982e-05,2167557,0.0,0.002869760961616308
