monthname,n_sites,mean_pct,std_pct_points,median_pct,q10,q25,q75,q90,max_pct
Jan,5700,18.909436466165413,8.174837387622203,19.6,7.933333333333333,12.4,24.65,28.566250000000014,57.599999999999994
Feb,5752,18.60057096082522,7.930700391509969,19.3,8.033333333333333,12.336458333333333,24.1,28.03333333333333,58.3
Mar,5758,18.524156473808695,7.876269929951018,19.2,8.090000000000002,12.2,24.109375,27.85,58.8
Apr,5688,17.1613070541156,7.277491725545437,17.6,7.55,11.366666666666667,22.2,25.8,58.1
May,5666,16.874545534768796,7.213170623694777,17.4,7.459821428571429,11.190625,22.03333333333333,25.39285714285714,69.6
Jun,5660,16.7713737800774,7.05144828081471,17.35,7.533333333333334,11.2,21.7,25.1,63.5
Jul,5622,16.64073260236147,6.946301873167509,17.233333333333334,7.6000000000000005,11.200000000000001,21.462500000000002,24.61125000000001,67.6
Aug,5623,15.69238226501698,6.50307600686459,16.233333333333334,7.267619047619048,10.766666666666666,20.0,23.15,69.6
Sep,5670,16.552189552364155,6.807675411074469,17.2,7.433333333333334,11.203125,21.3,24.55,58.6
Oct,5688,17.031177730058268,7.159412692825037,17.65,7.514285714285714,11.361160714285715,22.085714285714285,25.3,69.1
Nov,5670,17.590085936843874,7.441191511547393,18.2,7.633333333333333,11.654166666666667,22.9,26.4,62.7
Dec,5662,15.583062795411347,6.766154321499525,16.2,6.6000000000000005,10.170833333333333,20.25,23.5,62.35
