site_id,monthname,mean_hgv_pct,mean_adt24,n_site_years,n_records,road_prefix,road_type
100,Jan,5.2,36607.75,8,8,M60/,Motorway
100,Feb,5.275,39302.25,8,8,M60/,Motorway
100,Mar,5.4,39194.5,8,8,M60/,Motorway
100,Apr,5.475,36709.5,8,8,M60/,Motorway
100,May,5.325,38404.25,8,8,M60/,Motorway
100,Jun,5.225,40689.125,8,8,M60/,Motorway
100,Jul,5.25,41687.125,8,8,M60/,Motorway
100,Aug,5.15,41399.5,8,8,M60/,Motorway
100,Sep,5.1,42128.75,8,8,M60/,Motorway
100,Oct,5.2375,41967.0,8,8,M60/,Motorway
100,Nov,5.275,40682.625,8,8,M60/,Motorway
100,Dec,4.575,36747.5,8,8,M60/,Motorway
10002,Jan,22.46,44615.6,5,5,M1/4,Motorway
10002,Feb,21.7,54248.666666666664,3,3,M1/4,Motorway
10002,Mar,25.4,48685.5,4,4,M1/4,Motorway
10002,Apr,26.5,44146.5,4,4,M1/4,Motorway
10002,May,24.32,49253.6,5,5,M1/4,Motorway
10002,Jun,24.2,54610.6,5,5,M1/4,Motorway
10002,Jul,22.080000000000002,57330.8,5,5,M1/4,Motorway
10002,Aug,20.54,58866.6,5,5,M1/4,Motorway
10002,Sep,21.759999999999998,57012.6,5,5,M1/4,Motorway
10002,Oct,21.96,53929.4,5,5,M1/4,Motorway
10002,Nov,23.740000000000002,50910.0,5,5,M1/4,Motorway
10002,Dec,21.25,46970.75,4,4,M1/4,Motorway
10003,Jan,27.625,47534.75,8,8,M1/4,Motorway
10003,Feb,27.175,51764.625,8,8,M1/4,Motorway
10003,Mar,28.05,51063.5,8,8,M1/4,Motorway
10003,Apr,27.766666666666666,47568.166666666664,6,6,M1/4,Motorway
10003,May,27.933333333333334,50457.5,6,6,M1/4,Motorway
10003,Jun,26.55,55025.166666666664,6,6,M1/4,Motorway
10003,Jul,26.349999999999998,57523.666666666664,6,6,M1/4,Motorway
10003,Aug,24.5,59407.666666666664,6,6,M1/4,Motorway
10003,Sep,25.542857142857144,57520.0,7,7,M1/4,Motorway
10003,Oct,24.599999999999998,55103.42857142857,7,7,M1/4,Motorway
10003,Nov,27.842857142857145,53500.857142857145,7,7,M1/4,Motorway
10003,Dec,24.2,49084.857142857145,7,7,M1/4,Motorway
10013,Jan,24.474999999999998,44547.625,8,8,M1/4,Motorway
10013,Feb,24.5,48230.625,8,8,M1/4,Motorway
10013,Mar,23.728571428571428,48680.0,7,7,M1/4,Motorway
10013,Apr,24.016666666666666,45735.0,6,6,M1/4,Motorway
10013,May,23.900000000000002,48606.0,6,6,M1/4,Motorway
10013,Jun,22.7,52695.666666666664,6,6,M1/4,Motorway
10013,Jul,22.266666666666666,54857.5,6,6,M1/4,Motorway
10013,Aug,20.55,56431.666666666664,6,6,M1/4,Motorway
10013,Sep,21.885714285714283,54499.0,7,7,M1/4,Motorway
10013,Oct,21.97142857142857,52533.28571428572,7,7,M1/4,Motorway
10013,Nov,23.985714285714288,50506.0,7,7,M1/4,Motorway
10013,Dec,20.914285714285715,46233.0,7,7,M1/4,Motorway
1002,Jan,13.266666666666666,39609.333333333336,3,3,M61/,Motorway
1002,Feb,13.200000000000001,43784.666666666664,3,3,M61/,Motorway
1002,Mar,13.033333333333333,45171.0,3,3,M61/,Motorway
1002,Apr,11.533333333333333,47844.666666666664,3,3,M61/,Motorway
1002,May,11.433333333333332,48723.666666666664,3,3,M61/,Motorway
1002,Jun,11.533333333333333,51035.0,3,3,M61/,Motorway
1002,Jul,12.299999999999999,51190.333333333336,3,3,M61/,Motorway
1002,Aug,11.799999999999999,52964.333333333336,3,3,M61/,Motorway
1002,Sep,12.4,51777.666666666664,3,3,M61/,Motorway
1002,Oct,12.5,51373.333333333336,3,3,M61/,Motorway
1002,Nov,12.766666666666666,49420.666666666664,3,3,M61/,Motorway
1002,Dec,11.1,45054.333333333336,3,3,M61/,Motorway
10024,Jan,25.042857142857144,48224.71428571428,7,7,M1/4,Motorway
10024,Feb,24.599999999999998,52043.42857142857,7,7,M1/4,Motorway
10024,Mar,24.914285714285715,51038.857142857145,7,7,M1/4,Motorway
10024,Apr,25.0,49247.5,6,6,M1/4,Motorway
10024,May,24.816666666666666,51929.0,6,6,M1/4,Motorway
10024,Jun,24.650000000000002,56267.0,6,6,M1/4,Motorway
10024,Jul,22.98,60945.4,5,5,M1/4,Motorway
10024,Aug,21.849999999999998,60430.333333333336,6,6,M1/4,Motorway
10024,Sep,23.714285714285715,58656.71428571428,7,7,M1/4,Motorway
10024,Oct,23.485714285714288,56625.71428571428,7,7,M1/4,Motorway
10024,Nov,25.67142857142857,54270.857142857145,7,7,M1/4,Motorway
10024,Dec,22.02,50040.8,5,5,M1/4,Motorway
10027,Jan,19.125,21386.375,8,8,M18/,Motorway
10027,Feb,19.185714285714287,23997.714285714286,7,7,M18/,Motorway
10027,Mar,19.47142857142857,23903.571428571428,7,7,M18/,Motorway
10027,Apr,19.666666666666668,22544.333333333332,6,6,M18/,Motorway
10027,May,18.566666666666666,23862.5,6,6,M18/,Motorway
10027,Jun,18.150000000000002,25316.833333333332,6,6,M18/,Motorway
10027,Jul,18.166666666666668,26728.333333333332,6,6,M18/,Motorway
10027,Aug,16.516666666666666,27173.5,6,6,M18/,Motorway
10027,Sep,18.025,26373.0,8,8,M18/,Motorway
10027,Oct,18.0875,25991.25,8,8,M18/,Motorway
10027,Nov,19.2125,24954.5,8,8,M18/,Motorway
10027,Dec,16.8875,22568.375,8,8,M18/,Motorway
10028,Jan,22.875,38918.875,8,8,M18/,Motorway
10028,Feb,22.5625,42108.0,8,8,M18/,Motorway
10028,Mar,23.0125,41732.625,8,8,M18/,Motorway
10028,Apr,22.7,39477.71428571428,7,7,M18/,Motorway
10028,May,22.414285714285715,42132.42857142857,7,7,M18/,Motorway
10028,Jun,21.67142857142857,44314.0,7,7,M18/,Motorway
10028,Jul,21.87142857142857,46146.42857142857,7,7,M18/,Motorway
10028,Aug,20.014285714285712,46931.142857142855,7,7,M18/,Motorway
10028,Sep,21.275,45788.0,8,8,M18/,Motorway
10028,Oct,21.5125,44740.375,8,8,M18/,Motorway
10028,Nov,22.8,43487.75,8,8,M18/,Motorway
10028,Dec,20.2125,39517.5,8,8,M18/,Motorway
10031,Jan,23.2875,38371.125,8,8,M18/,Motorway
10031,Feb,23.025,41485.625,8,8,M18/,Motorway
10031,Mar,23.375,41274.125,8,8,M18/,Motorway
10031,Apr,23.185714285714287,39004.0,7,7,M18/,Motorway
10031,May,22.771428571428572,41581.857142857145,7,7,M18/,Motorway
10031,Jun,22.042857142857144,43762.857142857145,7,7,M18/,Motorway
10031,Jul,22.057142857142857,45440.857142857145,7,7,M18/,Motorway
10031,Aug,20.385714285714283,46377.57142857143,7,7,M18/,Motorway
10031,Sep,21.6125,45264.75,8,8,M18/,Motorway
10031,Oct,21.9125,44208.0,8,8,M18/,Motorway
10031,Nov,23.375,42968.75,8,8,M18/,Motorway
10031,Dec,20.5125,38826.125,8,8,M18/,Motorway
10032,Jan,23.085714285714285,43091.42857142857,7,7,M1/4,Motorway
10032,Feb,22.95,47638.125,8,8,M1/4,Motorway
10032,Mar,23.475,47147.125,8,8,M1/4,Motorway
10032,Apr,21.8625,45081.25,8,8,M1/4,Motorway
10032,May,23.633333333333336,46290.5,6,6,M1/4,Motorway
10032,Jun,22.55,50226.333333333336,6,6,M1/4,Motorway
10032,Jul,22.433333333333334,52717.666666666664,6,6,M1/4,Motorway
10032,Aug,20.400000000000002,54329.166666666664,6,6,M1/4,Motorway
10032,Sep,20.9625,52238.75,8,8,M1/4,Motorway
10032,Oct,21.5875,51512.875,8,8,M1/4,Motorway
10032,Nov,22.9625,48647.25,8,8,M1/4,Motorway
10032,Dec,19.7375,45331.375,8,8,M1/4,Motorway
10034,Jan,27.833333333333332,42748.0,3,3,M1/4,Motorway
10034,Feb,28.0,48107.0,3,3,M1/4,Motorway
10034,Mar,27.333333333333332,49010.666666666664,3,3,M1/4,Motorway
10034,Apr,24.85,50566.5,2,2,M1/4,Motorway
10034,May,24.450000000000003,52958.0,2,2,M1/4,Motorway
