poisson_z_sim,nb_z_sim
1961438,1964046
1960912,1964124
1961254,1964404
1960959,1964013
1961268,1964231
1960957,1964171
1961744,1964102
1961337,1964174
1961176,1964524
1961014,1964205
1961240,1964435
1961171,1964019
1961141,1964180
1960896,1964043
1961018,1964082
1961051,1964321
1961302,1964172
1961028,1964048
1961084,1964321
1961257,1964168
1960994,1964204
1961426,1964063
1961217,1964049
1961383,1964288
1961255,1964067
1961209,1963866
1961049,1964263
1961257,1964118
1961509,1964127
1960867,1964645
1961107,1963973
1961247,1963812
1961191,1964227
1961383,1964299
1961168,1964497
1960923,1964498
1961026,1964052
1961315,1964110
1961166,1964054
1961156,1964010
1961118,1964187
1960783,1964202
1961195,1963925
1961129,1964169
1961013,1964144
1960998,1964171
1960867,1964362
1961150,1964424
1960917,1964093
1960987,1964086
1961134,1964195
1960921,1964394
1960908,1963900
1960949,1963962
1960940,1964298
1961399,1964243
1961401,1964023
1961363,1964371
1961268,1964101
1961250,1963948
1961100,1964294
1960918,1963779
1961207,1964266
1961173,1964346
1961075,1964109
1961433,1964447
1961506,1964105
1961150,1963898
1961223,1964306
1961289,1963866
1961414,1964139
1961115,1964173
1961258,1964306
1960848,1964152
1960956,1964210
1961383,1963999
1960910,1964379
1961117,1964320
1961187,1964246
1961220,1964134
1961221,1964240
1960961,1964453
1961476,1964070
1961091,1964035
1961293,1964098
1961026,1964062
1961258,1964263
1961337,1964063
1961313,1963873
1960964,1964187
1961295,1964220
1961127,1964060
1961056,1963919
1961101,1964167
1961256,1963994
1961321,1964464
1960952,1964215
1961026,1963845
1961313,1964419
1961077,1964065
1961359,1963997
1961056,1964233
1961078,1964260
1961333,1963802
1961116,1964298
1961251,1964191
1961151,1963954
1961038,1964308
1961212,1964260
1961147,1964362
1960787,1963918
1961173,1964209
1961424,1964244
1961053,1964221
1961609,1964509
1960865,1964203
1961170,1963993
1961188,1964205
1960887,1964022
1960949,1964233
1961307,1964199
1961284,1964091
1961119,1964198
1961181,1964105
1960871,1963963
1960881,1964287
1961485,1964169
1961200,1964053
1961197,1964362
1961477,1964232
1961400,1964219
1961167,1964465
1960708,1964378
1961459,1964111
1961117,1964052
1961104,1964262
1961443,1964139
1961584,1964411
1961415,1964363
1961423,1963954
1961323,1964314
1961285,1964202
1961208,1964013
1961300,1964568
1961098,1964307
1961122,1963991
1961237,1963853
1961116,1964178
1961128,1963745
1961415,1964143
1961561,1964150
1961062,1963738
1961447,1964273
1961504,1964252
1961401,1964030
1961129,1964353
1961015,1964220
